Description,Verdict,Character
"The archetypal opponent of Christianity, who simultaneously accuses it of being too timid and too warlike, too sad and too happy.",Bad,The Critic
"Personified as a magnificent but bewildering reality, which Chesterton argues is best explained by the Christian story rather than by sterile rationalism.",Good,The Cosmos
"A noble and respected Venetian general, whose deep-seated insecurities are exploited by Iago, leading him to a tragic, jealous rage.",Ambiguous,Othello
"Othello's ensign and the play's villain; a master manipulator who orchestrates the play's tragedy out of a motiveless, malevolent hatred.",Bad,Iago
"Othello's beautiful and virtuous wife, who is falsely accused of adultery and murdered by her husband.",Good,Desdemona
"Othello's loyal and honorable lieutenant, whom Iago uses as a pawn to ignite Othello's jealousy.",Good,Michael Cassio
"Iago's wife and Desdemona's attendant; she is worldly and cynical but ultimately exposes her husband's villainy, costing her life.",Good,Emilia
"A wealthy and foolish Venetian gentleman, hopelessly in love with Desdemona, whom Iago manipulates and bleeds for money.",Bad,Roderigo
"Desdemona's father, a Venetian senator who is heartbroken and angered by his daughter's secret marriage to Othello.",Ambiguous,Brabantio
"The ruler of the city, who respects Othello as a general and attempts to mediate the dispute between him and Brabantio.",Good,The Duke of Venice
"The 'mutual friend,' an heir who fakes his own death to escape the conditions of his father's will and works as a secretary to test his intended bride, Bella.",Good,John Harmon (John Rokesmith)
"A beautiful and proud young woman, initially materialistic and resentful of her poverty, who undergoes a profound moral transformation through love.",Good,Bella Wilfer
"A noble, loyal, and intelligent daughter of a Thames boatman, who sacrifices her own happiness for others and is pursued by two obsessive suitors.",Good,Lizzie Hexam
"An indolent and cynical barrister who becomes deeply, and for him, bewilderingly, in love with Lizzie Hexam.",Ambiguous,Eugene Wrayburn
"The 'Golden Dustman,' a kind-hearted and unsophisticated servant who inherits the Harmon fortune and carries out a complex charade to test Bella.",Good,Nicodemus 'Noddy' Boffin
"A greedy and villainous ballad-monger with a wooden leg, whom Boffin hires to read to him; he attempts to blackmail his employer.",Bad,Silas Wegg
A taxidermist and articulator of skeletons who is initially ensnared in Wegg's schemes but whose conscience wins out.,Good,Mr. Venus
"A schoolmaster of humble origins who is consumed by a violently obsessive passion for Lizzie Hexam, leading him to murder and self-destruction.",Bad,Bradley Headstone
"A proud and charismatic archangel who leads a rebellion against God, is cast into Hell, and resolves to corrupt God's new creation, humanity.",Bad,Satan
"The omnipotent, omniscient, and just ruler of Heaven, who foresees the Fall of Man but allows it to happen to respect free will.",Good,God the Father
"The Son, who volunteers to sacrifice himself to redeem humanity for their future sin, demonstrating divine love and mercy.",Good,The Son of God (Messiah)
"The first man, created perfect but with free will. He knowingly eats the forbidden fruit out of love for Eve, causing the Fall.",Ambiguous,Adam
"The first woman, created from Adam's rib. She is deceived by Satan's flattery into eating the forbidden fruit, precipitating the Fall.",Ambiguous,Eve
"Satan's second-in-command, a powerful and articulate fallen angel who is more pragmatic and rational than his leader.",Bad,Beelzebub
"A powerful archangel, loyal to God, who leads the heavenly army against Satan and later shows Adam visions of the future of mankind.",Good,Michael
"Satan's daughter, who sprang from his head in Heaven; a allegorical figure who holds the key to Hell's gate.",Bad,Sin
"The protagonist, a young, idealistic, and strong-willed clergyman who commits a great sin ('Peccavi' means 'I have sinned') and spends the rest of the novel seeking atonement.",Ambiguous,Robert Rattray
The man Robert Rattray grievously wronged; he is initially portrayed as a victim but later reveals a vengeful and cruel nature.,Bad,Paul Ambryn
"Paul's sister, a virtuous and compassionate woman who becomes Robert's love interest, torn between her brother and the repentant priest.",Good,Constance Ambryn
"Robert's cynical and worldly older brother, who offers pragmatic but morally questionable advice to his troubled sibling.",Ambiguous,Jasper Rattray
"The town doctor, a man of quiet integrity and perception who acts as a moral compass and a friend to Robert.",Good,Dr. Dormer
"The doctor's wife, representing the kind and compassionate segment of the town's society.",Good,Mrs. Dormer
A local poacher and ne'er-do-well who acts as an antagonist and a thorn in the side of Rattray's parish work.,Bad,Holt
"The head of the diocese, who represents the formal judgment and authority of the Church that Rattray must ultimately face.",Good,The Bishop
A mysterious and fragile young woman found lost in a forest; her enigmatic nature and passive beauty captivate both Pelléas and Golaud.,Ambiguous,Mélisande
"Golaud's younger half-brother; a sensitive and youthful man who falls into a doomed, innocent love with Mélisande.",Good,Pelléas
"A prince of Allemonde who discovers Mélisande and marries her; he is a pragmatic man whose love curdles into a violent, consuming jealousy.",Bad,Golaud
"The old, blind, and weary King of Allemonde; he is the voice of wisdom and sad resignation, observing the tragedy unfold with pity.",Good,King Arkel
The mother of Pelléas and Golaud; a kind and observant woman who senses the growing tragedy within the castle walls.,Good,Geneviève
Golaud's young son from a previous marriage; he serves as an innocent and terrified witness to the adult passions he cannot comprehend.,Good,Yniold
"A physician who appears at the end of the play, offering a rational but ultimately powerless perspective on Mélisande's fate.",Good,The Doctor
"The gloomy, ancient castle of Allemonde, which functions as a character, embodying the oppressive weight of fate, darkness, and decay.",Bad,The Castle
"The boy who wouldn't grow up; the charming, arrogant, and forgetful leader of the Lost Boys who lives for adventure.",Good,Peter Pan
"The eldest Darling child, a kind and imaginative girl who travels to Neverland to become a mother to the Lost Boys.",Good,Wendy Darling
"Peter's fiercely loyal and jealous fairy, whose powerful emotions can save or endanger those around her.",Ambiguous,Tinker Bell
"Peter's nemesis, the sinister and theatrical captain of the Jolly Roger; a ruthless pirate who is terrified of the crocodile that took his hand.",Bad,Captain Hook
"Hook's loyal and comically inept boatswain, who is more good-natured than truly villainous.",Bad,Mr. Smee
"The proud and brave princess of the Piccaninny tribe, a loyal ally to Peter Pan.",Good,Tiger Lily
"The middle Darling child, who is serious, intelligent, and acts as the strategist among the children in Neverland.",Good,John Darling
"The youngest Darling child, innocent and sweet-natured, who travels to Neverland with his teddy bear.",Good,Michael Darling
"An infant who flies away from his home to live in Kensington Gardens, where he is caught 'betwixt-and-between' a human and a bird.",Good,Peter Pan
A precocious and imaginative little girl who meets Peter in the Gardens and is the only child brave enough to stay after Lock-Out Time.,Good,Maimie Mannering
"An old and wise crow who serves as the Gardens' primary authority, explaining its rules to Peter and acting as his guardian.",Good,Solomon Caw
"The queen of the fairies in Kensington Gardens, who holds court and is initially wary of the human Peter.",Good,Queen Mab
"The magical inhabitants of the Gardens who appear after Lock-Out Time; they are mischievous, beautiful, and wary of humans.",Good,The Fairies
